Sr No.	Status Bitbucket	Status Bamboo	Project Name	Bitbucket Group Name	Bitbucket Clone URL	Bamboo plan conversion on hold	Bamboo Group Name	Bamboo Link	Master Branch	Additional branches for migration	Comments	Repo_migration_Status	Repo_Mirroring_status
1			Nice.ApplicationPlugins.Reconstruction	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.applicationplugins.reconstruction/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-APPREC-191/artifact	MASTER	"release-4.0, release-4.1, release-4.1.1, release-4.2,release-4.3,release-4.4, release-4.5"		Done	Done
2			Nice.ApplicationPlugins.ComplianceDashboard	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.applicationplugins.compliancedashboard/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CYB-18/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4"		Done	Done
3			ApplicationPlugins.ComplianceReview	CS Plugins	http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.compliancereview/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CRP-46/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4"		Done	Done
4			Nice.ComplianceReview	CS Services	http://bitbucket.cssrd.local/projects/CSS/repos/nice.compliancereview/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NCR-55/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4"		Done	Done
5			ApplicationPlugins.ObserveRunnerConfiguration	CS Plugins	http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.observerunnerconfiguration/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-ORC-17/artifact	MASTER	"release-4.1, release-4.2,release-4.3,release-4.4, release-4.5"		Done	Done
6			Nice.MediaSources.Files	CS Media Sources	http://bitbucket.cssrd.local/projects/CSMS/repos/nice.mediasources.files/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NMSF-32/artifact	MASTER	"release-4.0, release-4.1, release-4.2,release-4.3,release-4.4"		Done	Done
7			Nice.MediaSources.NIM.MiniBus	CS Media Sources	http://bitbucket.cssrd.local/projects/CSMS/repos/nice.mediasources.nim.minibus/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NMSF-32/artifact	MASTER	"release-4.0, release-4.1, release-4.2,release-4.3,release-4.4"		Done	Done
8			ApplicationFramework.Jobs	ApplicationFramework.Jobs	http://bitbucket.cssrd.local/projects/APFJOBS/repos/applicationframework.jobs/browse		ApplicationFramework.Jobs	http://bamboo.cssrd.local/browse/APFJOBS-AFJ-98/artifact	MASTER	"release-4.0.0, release-4.1.0, release-4.2,release-4.3,release-4.4, release-4.5, release-4.6"		Done	Done
9			ApplicationFramework.Jobs.Plugins.HistoricalIndexing.NTR	ApplicationFramework.Jobs	http://bitbucket.cssrd.local/projects/APFJOBS/repos/applicationframework.jobs.plugins.historicalindexing.ntr/browse		ApplicationFramework.Jobs	http://bamboo.cssrd.local/browse/APFJOBS-INDEXNTR-8	MASTER		Not found any referance	Done	Done
10			ApplicationFramework.ExternalUserSources	ApplicationFramework	http://bitbucket.cssrd.local/projects/AP/repos/applicationframework.externalusersources/browse		ApplicationFramework.Jobs	http://bamboo.cssrd.local/browse/CS-AEUS-11/artifact	MASTER	"release-1.3, release-1.4, release-1.5,release-1.5.1,release-1.6"		Done	Done
11			CS.InteractionAPI	CS	http://bitbucket.cssrd.local/projects/CS/repos/cs.interactionapi/browse		ApplicationFramework.Jobs	http://bamboo.cssrd.local/browse/CS-CSIN-62/artifact	MASTER	"release-1.1, release-1.2 ,release-1.3, release-1.4, release-1.5, release-1.6, release-1.7"		Done	Done
12			Nice.Microsoft.ARR	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/nice.microsoft.applicationrequestrouting/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-ARR-1/artifact	MASTER			Done	Done
13			Nice.Microsoft.IISRewrite	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/nice.microsoft.iisrewrite/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-NIC-1/artifact	MASTER			Done	Done
14			Nice.Microsoft.IISRewrite.Utils.Setup.targets	InternalTooling	http://bitbucket.cssrd.local/projects/IN/repos/nice.microsoft.iisrewrite.utils/browse		Internal	http://bamboo.cssrd.local/browse/INT-NIC-2/artifact	MASTER			Done	Done
15			Supervision.Auditing	Supervision	http://bitbucket.cssrd.local/projects/SUP/repos/supervision.auditing/browse		Supervision	http://bamboo.cssrd.local/browse/SUP-SUPA-16/artifact	MASTER	"release-1.0, release-1.1"		Done	Done
16			Supervision.Setup	Supervision	http://bitbucket.cssrd.local/projects/SUP/repos/supervision.core/browse		Supervision	http://bamboo.cssrd.local/browse/SUP-SUPCORE-526/artifact	MASTER	"release-1.1, release-1.2 ,release-1.3, release-1.4, release-1.5, release-1.6"		Done	Done
17			Supervision.UI	Supervision	http://bitbucket.cssrd.local/projects/SUP/repos/supervision.ui/browse		Supervision	http://bamboo.cssrd.local/browse/SUP-SUPUI-360/artifact	MASTER	"release-1.1, release-1.2 ,release-1.3, release-1.4, release-1.5, release-1.6"		Done	Done
18			Corelibraries.RabbitMq.Clients	InternalTooling	http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.rabbitmq.clients/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CLRMQC4-2/artifact	release-1.1			Done	Done
19			Corelibraries.RabbitMq	CoreLibraries	http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.rabbitmq/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORRMQ1-6/artifact	RELEASE-1.8			Done	Done
